"","vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","target_stake_self","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","score","eligible_algo_stake","rank","in_algo_stake_set","eligible_mnde_stake","mnde_power","target_stake_mnde","target_stake_algo","target_stake"
"775","Asns2MR4Su8domaswW1qnMcBBbzcW1SfJurPweKXgvd9",60458.020566771,63251.5002085372,0.125278254745541,0.210341478696742,0.0758330348897892,10,311239.17,"OVH SAS",0,0,0.370569041681315,0.896112151726018,0.837815756491178,0.770415984615418,TRUE,1175,FALSE,FALSE,0,0,0,0
"937","8PTusiY7z4wfjScHU6hr459AFDzrCki4wWmwhXd91mMr",79650.941844114,82010.5944832437,0.125278254745541,0.0445908257426721,0.0445908257426721,10,309588.39,"OVH SAS",0,0,0.370569041681315,0.938912573578272,0.83337206935983,0.770290103887631,TRUE,1176,FALSE,FALSE,0,0,0,0
"904","BDn3HiXMTym7ZQofWFxDb7ZGQX6GomQzJYKfytTAqd5g",139307.062719341,143819.210872892,0.125278254745541,0.0540930496756216,0.0540930496756216,10,310057.47,"OVH SAS",0,0,0.370569041681315,0.925894954019114,0.834634772299999,0.770260058490903,TRUE,1177,FALSE,FALSE,0,0,0,0
"861","CbmFtfoXWuhSxo9GDJHBBrkszbPawKeQmaW9JQr8cgyf",79290.867912778,81675.5731336287,0.125278254745541,0.103521501897861,0.065341954472294,10,310590.09,"OVH SAS",0,0,0.370569041681315,0.91048446020908,0.836068516735902,0.77017751622544,TRUE,1178,FALSE,FALSE,0,0,0,0
"807","FKVKr9AwXNx7e2uREBfVB6RKqbc7tjyXpGyGjwhSJnvr",60365.227982686,63165.1088229401,0.125278254745541,0.101911787043366,0.073325538266568,10,310979.88,"OVH SAS",0,0,0.370569041681315,0.899547309360409,0.837117781209016,0.770143323447169,TRUE,1179,FALSE,FALSE,0,0,0,0
"890","3j1Xp8ZrfEYTUEYyTsDNv6kVCtDdwoKeHt86BJZTftav",25120.499038482,54749.3676794768,0.125278254745541,0.0676461374023294,0.0584505681413101,10,310197.15,"OVH SAS",0,0,0.370569041681315,0.919925349639276,0.835010772868523,0.770090089360549,TRUE,1180,FALSE,FALSE,0,0,0,0
"55","GNZ1PAAS33davY4Q1BMEpZEpVBtRtGvSpcTH5wYVkkVt",188056.015289375,191902.913634406,0.199034148368202,0.0496879077370321,0.0496879077370321,5,337240.025,"TERASWITCH",1352494670842000,0,0,0.93192980041563,0.907806709112092,0.769999760887427,TRUE,1181,FALSE,FALSE,0,0,0,0
"835","HwhsBNduje3zK3aHqfMPrQN2NYytTHvSwEjLs43NLmtp",44841.701446828,67187.6346858077,0.125278254745541,0.125023943447856,0.0710985564630849,10,310761.63,"OVH SAS",0,0,0.370569041681315,0.902598174303971,0.836530280320699,0.769926081605661,TRUE,1182,FALSE,FALSE,0,0,0,0
"915","7kge23FTbCXc6dZxMPQfAWLnVFTgGzio5wpXUo9si2mV",79675.591020133,82263.4145411861,0.125278254745541,0.0626938932736692,0.0547296415761354,10,309912.3,"OVH SAS",0,0,0.370569041681315,0.925022851737184,0.834243993358615,0.769892374514305,TRUE,1183,FALSE,FALSE,0,0,0,0
"714","q1phrX11VjA2XEPqsTFMYRfrTZiwUeG7HCVz3d6V5Ua",79798.313441845,82357.0716313235,0.125278254745541,0.153098310693138,0.0935719956066471,10,311808.96,"OVH SAS",0,0,0.370569041681315,0.871810573104387,0.8393495577794,0.76972647955854,TRUE,1184,FALSE,FALSE,0,0,0,0
