vote_account,max_commission,marinade_stake,version,score_credits,score_block_production,score_inflation_commission,score_mev_commission,score_country_concentration,score_city_concentration,score_aso_concentration,score_node_concentration,score,ui_hints,blacklisted,eligible_stake_algo,eligible_bonus,in_algo_stake_set,msol_votes,vemnde_votes,rank,target_stake_vemnde,target_stake_msol,target_stake_algo,target_stake
"EPrq1DvsWqX9CHBKgMU7gxvNvPbqRLhbqz2QzHcPFzab","7","0","1.17.33","0.9640096010771922","1","0.93","0","0.6558584113220238","0.9841469812120919","0.9777212788375453","1","0.9376693513678201","NO_BOND","0","0","0","1","0","0","1069","0","0","0","0"
"2DpnT6to3eJsXeg1Tk42XFCXLMKL7pGzMKFwQS5CNK6a","7","0","1.17.31","0.959189328630747","1","0.93","0","0.6558584113220238","0.9924031095238474","0.9830099451077194","1","0.9375958134823852","NO_BOND","0","0","0","1","1.38e-7","10.514837387","1070","0","0","0","0"
"2dCciM6aFdDXeiirHNTmkxh9Sda1DwfPfF1HVNZSrPcE","7","5167.206255891","1.17.33","0.9677073719280497","1","0.93","0","0.6558584113220238","0.9947151863796242","0.9591157974657396","1","0.937484202933109","NO_BOND","0","0","0","1","0","0","1071","0","0","0","0"
"51s4xvZyufE2woF2BJyovnuN9JLtmzd6rb1r5JAYaxzd","7","0","1.17.33","0.9817506645234754","0.9535078816539722","0.93","0","0.6558584113220238","0.9933099853907712","0.9830099451077194","1","0.9374626971855438","NO_BOND","0","0","0","1","0","0","1072","0","0","0","0"
"EujFnyMz71DXdN93GeSCDU7pFiy1vrFG7cAbtfAhFeSe","7","0","1.17.33","0.9212356856306793","1","0.93","0","0.9542436011002214","0.9733251674274065","0.9414449114582857","1","0.9373938776329871","NO_BOND","0","0","0","1","0","0","1073","0","0","0","0"
"EcZBjDPzSZLdsyKCBq26MZMYFfiinZsfcL3SwWMK1eNL","7","0","1.17.33","0.9607940230670715","1","0.93","0","0.6558584113220238","0.9918780482176459","0.9777212788375453","1","0.9373802359134802","NO_BOND","0","0","0","1","0","0","1074","0","0","0","0"
"CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb","0","14.650105275","1.17.31","0.991548355160944","1","1","1","0.8989890704796514","0.9812380633431605","0.7905755914964634","0.6160746820986032","0.9371492778316542","NO_BOND","0","0","0","1","1.144148845","49.392106557","1075","0","0","0","0"
"VaCdXKupamusfRsDf9Ai7e8Up36Z4f3MP6SqhnM7c76","7","0","1.17.33","0.910095968536467","1","0.93","0","0.986150608643517","0.986150608643517","0.9414449114582857","1","0.9371001088521095","NO_BOND","0","0","0","1","0","0","1076","0","0","0","0"
"4jx1b7HCN9nCxygP3hruC85BxcYndhxby4hkNexuHvxT","7","0","1.17.33","0.9670063126778812","0.979928210133617","0.93","0","0.6558584113220238","0.9933099853907712","0.9830099451077194","1","0.9369677979578754","NO_BOND","0","0","0","1","0","0","1077","0","0","0","0"
"EtGWDbP7342Mo2PnG6MYUP1rL8v69ycn1FRnRTB1BLU3","7","0","1.17.33","0.9572200417666239","1","0.93","0","0.6558584113220238","0.9924031095238474","0.9830099451077194","1","0.9369605596552486","BLACKLIST,NO_BOND","1","0","0","1","0","0","1078","0","0","0","0"
"ELvd1ayPGicuX9yBNr6tn3V3BUCa12Cme8FDdghcmskf","0","0","1.17.33","0.9231723296762435","1","0.93","1","0.6558584113220238","0.9947151863796242","0.9591157974657396","1","0.9369019312389779","NO_BOND","0","0","0","1","0","0","1079","0","0","0","0"
"59k9CiZ7L1bpEivLrAtaMPMgw18syZ4RQsJUo3hbbj8x","0","54.89421651","1.17.33","1","1","1","0","0.8495379377555894","0.8695512835674274","0.7905755914964634","1","0.9368623255548166","NO_BOND","0","0","0","1","0","0","1080","0","0","0","0"
"9CJCtwxXQvnSTiTWvyWJgXqpJL8oGedtUft89X5eLHQL","7","0","1.17.33","0.9636499526112499","1","0.93","0","0.6558584113220238","0.9698973561702599","0.9830099451077194","1","0.9368567483128453","NO_BOND","0","0","0","1","0","0","1081","0","0","0","0"
"dcwMB2qjmAwid5KNo2qquBPyDxzdLfe9io8JAxeRU5m","7","644.101612611","1.17.33","0.9859085923295865","1","0.93","0","0.6558584113220238","0.9946862706993582","0.9085566003388627","1","0.9368289986901109","NO_BOND","0","0","0","1","0","0","1082","0","0","0","0"
"5WF1VwByGfW31Nmk1xcfz9k5YyZLskX4659JXyAA3rpb","7","0","1.17.31","0.9567091520040947","1","0.93","0","0.6558584113220238","0.9924031095238474","0.9830099451077194","1","0.9367957565060457","NO_BOND","0","0","0","1","0","0","1083","0","0","0","0"
"53gnaHMxDzGTZ9A58S4jbc1qzhYT4X51thUD4MdSBiyo","7","0","1.17.33","0.9564225935402288","1","0.93","0","0.6558584113220238","0.9924031095238474","0.9830099451077194","1","0.9367033182918953","NO_BOND","0","0","0","1","0","0","1084","0","0","0","0"
