vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,marinade_stake,version,target_stake_msol,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,rank_dc_concentration,rank_grace_skip_rate,rank_adjusted_credits,score,blacklisted,ui_hints,eligible_stake_algo,eligible_stake_msol,rank,in_algo_stake_set,eligible_stake_mnde,mnde_power,target_stake_mnde,target_stake_algo,target_stake
De4k4hrdkxFHmAx4nVRA3g5ukdg4YqmDLdwuYUcrjjud,80211.178675403,80878.9956877635,0.00041128934642314,0.00901049010316746,0.00491704636061421,10,372606.25,Netorn LLC,0,25007.746842235,1.13.7,0,0.997772691059219,0.991457452716679,0.89523015630466,55,174,181,0.918408030606285,0,"",1,1,94,1,1,0,0,25204,25204
6GoijNiK3JZVAY96ykCfPhcJnrQfrQMLvrQaX5HyMVhu,80263.730519886,81310.928916001,0.00041128934642314,0.00681725681725681,0.00519723726296207,10,372610.123,Netorn LLC,0,25011.678414274,1.13.7,0,0.997772691059219,0.990970667794162,0.895239461640776,55,201,180,0.918377743563105,0,"",1,1,95,1,1,0,0,25203,25203
6SmEcnuXJ3ZYqJWTqCoPQMhfvey6PfWb1LebLzoH3f7m,79895.099148893,81167.1843590209,0.00267576805883141,0.0274594734919139,0.0150873613339014,10,374104.75,HVC-AS,0,25018.558583427,1.13.7,0,0.985509563588938,0.973788228110319,0.898830478063145,153,1151,174,0.917931702763049,0,"",1,1,96,1,1,0,0,25190,25190
4hoZBjJrFqJf9Bhop5sAwdidFM8qM88EQJQwbfgs1pkP,80443.229782871,91922.5283887524,0.000233058744493562,0.00272952853598015,0.00272952853598015,10,370666.17,Calypso IT Services GmbH,1000000000000,25297.300563685,1.13.7,0,0.998737886527205,0.995257899789891,0.890568886877098,26,82,348,0.915263272431944,0,"",1,1,103,1,1,0.0000289272355194329,27,25117,25144
H7CfFGvmUHWvryBKAaVibVxz85SYmWyoECx3CjLHq3zC,79303.788966849,95156.8831834632,0.0115630943555278,0.0268129712025708,0.0156468640612142,8,377192.364,Inetcom LLC,0,25137.352671483,1.13.7,0,0.937380864189304,0.9728161855155,0.906248832328078,362,1186,163,0.916158941321146,0,"",1,1,99,1,1,0,0,25142,25142
76nwV8zz8tLz97SBRXH6uwHvgHXtqJDLQfF66jZhQ857,343540.318988558,354392.4626044,0.0013098729533662,0.0226525046006134,0.0226525046006134,9,372924.006,Psittacus Systems LIMITED,0,25335.158253846,1.13.7,0,0.992906473834802,0.960645054480996,0.895993602311125,119,1584,178,0.915876463481681,0,"",1,1,100,1,1,0,0,25134,25134
9w3YAf77BSGLQXahTpwAe9U9mNdCXkqmxH17uCyN1wyH,83309.753608634,95243.6170656012,0.000241461740310805,0.00663129973474801,0.00335708846360035,10,370851.3,Adworlds Technologies Lp,0,24517.906948598,1.13.7,0,0.998692380685938,0.994167619169851,0.891013683385038,27,107,212,0.915514554953239,0,"",1,1,101,1,1,0,0,25124,25124
EsQSoAgPq6wiG8aF3ogzkGWxpyfpuWe9P3GMv7JzCbpU,81673.982778888,102592.690998729,0.00026018159388941,0.00598113641591903,0.00436111686162429,10,370819.8,Citytelecom LLC,0,24895.382539107,1.13.7,0,0.998591004616734,0.992423287423741,0.89093800094567,28,153,221,0.915306562008762,0,"",1,1,102,1,1,0,0,25118,25118
4B592mQ6JbxPwpa3iY3nDgLH9vzppRgG54Y3ZtMrYcSR,80482.690075579,95634.2870105135,0.000547756863832101,0.00243055555555555,0.00243055555555555,10,370764.54,SIA BITE Latvija,0,25066.389470238,1.13.7,0,0.997033660680011,0.995777315437905,0.890805232323465,70,75,262,0.915222843079429,0,"",1,1,104,1,1,0,0,25116,25116
JEJ9KC1aQgcYigTG386mkS85J3EGVPkKib1Xi1otypWJ,79939.509847945,83952.0221387841,0.000521940411644078,0.0088485789572746,0.00482185932492293,10,370835.19,JSC Mediasoft ekspert,0,13553.378046626,1.13.7,0,0.997173467886975,0.991622824302285,0.89097497722319,65,170,217,0.915055348639087,0,"",1,1,105,1,1,0,0,25112,25112
