vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,target_stake_msol,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,score,eligible_stake_algo,eligible_stake_msol,ui_hints,rank,in_algo_stake_set,eligible_stake_mnde,mnde_power,target_stake_mnde,target_stake_algo,target_stake
GuxBSrv5jnSwwPepkqnmkM7YCBSakKanbnw4BKMdda4j,105098.769084232,108245.568272637,0.000499509916517494,0.0490691975480995,0.0474176384639292,8,326547.744,SIA BITE Latvija,0,0,0.99749788212534,0.931164626430865,0.869055872255489,0.893593777941264,1,1,"",61,1,1,0,0,24987,24987
BFx4GGeS6s66HGux6oy7jMwiKPu6sUAJrzhK89wHun6R,98245.572694896,111733.087924845,0.00232031403565119,0.0536843467834847,0.0499291176288823,8,327313.644,PERFECT-INTERNATIONAL,0,0,0.98837720927764,0.927518755144758,0.871094195608782,0.893478086906758,1,1,"",62,1,1,0,0,24983,24983
LunaFpQkZsZVJL2P2BUqNDJqyVYqrw9buQnjQtMLXdK,182887.305883798,184800.127671273,0.000669193640768403,0.0472372981583043,0.0466197224523991,8,326318.296,VeloxServ Communications Ltd,0,0,0.996647911653388,0.932322947437767,0.868445232202262,0.89308239175132,1,1,"",63,1,1,0,0,24972,24972
4GAmUQ8FvKcTzeYGqxu2oSBMStYNwDTmBo7LC1Csg6SE,13768.678026502,13795.4064715596,0.00209575448348657,0.313571428571429,0.067463219232634,8,327561.124,NEXEON,0,0,0.989502060758695,0.902064800177946,0.871752825016633,0.892199782450898,1,1,"",64,1,1,0,0,24948,24948
ASe5VJAvTWqPeZXaoKZFk23xzoD3SgXZk1JrkWQx3M1W,1568818.13407689,1571844.50638708,0.0168151399495968,0.0394063437340345,0.0394063437340345,6,331349.342,SERVERS-COM,0,0,0.915770516577287,0.942794485769479,0.881834576180971,0.891744713902597,1,1,"",65,1,1,0,0,24935,24935
NoRDTy8jpkpjPR7yxahVdoEUPngbojPhFU5jb8TtY4m,111286.990783529,115084.336495782,0.0354283001606752,0.0423576045216818,0.0423576045216818,5,337610.81,WEBNX,0,0,0.822534487966004,0.938510191034469,0.898498496340652,0.889889548490231,1,1,"",67,1,1,0,0,24883,24883
RNXpSdqrJL6eoLrbW69Q9qsFviEwRpfFfk3HiRRRohq,373673.971745431,374127.969358808,0.000975104899920606,0.0536643062030261,0.0536643062030261,8,325230.764,AUTOCONT a.s.,0,0,0.995115557631429,0.92209644586953,0.865550935462409,0.889833608904344,1,1,"",68,1,1,0,0,24881,24881
AM3wUMazVnap88dVdE26jdSKBeLTe8EitNS7eTV35Tjd,6112.425941091,18403.4004917677,0.0000481431315898864,0.168253968253968,0.0618994146720156,5,324995.19,ServeTheWorld AS,0,0,0.999758844046715,0.910141679959447,0.864923992015968,0.889146099093274,1,1,"",70,1,1,0,0,24862,24862
RBFvvcGPBpgkBYmJGsphoDQJD8sszSuorM7TorWm12Y,2129864.76529451,2132063.7578607,0.00575114318859631,0.0528838937796439,0.0528838937796439,8,326537.532,RADIOKOMUNIKACE a.s.,0,0,0.971191686699156,0.923229357217327,0.869028694610779,0.888915359747956,1,1,"",71,1,1,0,0,24856,24856
FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk,4861916.83236917,4880063.38712941,0.0168151399495968,0.047175578353282,0.047175578353282,7,330134.748,SERVERS-COM,0,0,0.915770516577287,0.931516020947386,0.878602123752495,0.888390637817455,1,1,"",72,1,1,0,0,24841,24841
76nwV8zz8tLz97SBRXH6uwHvgHXtqJDLQfF66jZhQ857,335808.57870606,338431.062465648,0.00124687478821344,0.0387228642057936,0.0387228642057936,9,323514.464,Psittacus Systems LIMITED,0,0,0.993754222705322,0.943786681293706,0.86098327079175,0.887779064201681,1,1,"",73,1,1,0,0,24824,24824
