vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,marinade_stake,version
9rRrsNWovWQ9PvmYf3pBFv59tZy4KCY3hhAY5gRmGabs,100.326493466,11603.7430534343,0.030406572808336446,0.03333333333333334,0.0014719244445036014,100,110339.28,Unknown,0.0,1.17.20
8RXWBTAVXQNg3HFn2JamgFPNLyr265VTinGx6Y1tQXqp,70.004058986,11239.961564178,0.030406572808336446,0.025,0.0014719244445036014,100,110338.74,Unknown,0.0,1.17.20
HwseQghWzTrPYjMM78iEGD8dY3poReaKjR2b6BqLRvXD,70.880192543,11716.5501620715,0.030406572808336446,0.1484722222222222,0.008203495240342511,100,110338.29,Unknown,0.0,1.17.20
5PHsp9JZtX531zd556RykiknoUaRqGzn6aTi7RSuPemK,612.037081522,11913.6759081711,0.030406572808336446,0.003125,0.0017219354459771876,100,110336.94,Unknown,0.0,1.17.20
7Z68FeNgQpQ5eYJARfCvTDdPgZUuMuzJyhZdGL74UPje,70.755088448,17794.6087444944,0.030406572808336446,0.1,0.0014719244445036014,100,110335.77,Unknown,0.0,1.17.20
B8He2akyLzFbq8qLooUNP7jTkcKA2a1AjyfxieWhm4H4,618.84914263,23185.0937368124,0.030406572808336446,0.06604166666666667,0.005734608669656571,100,110323.8,Unknown,0.0,1.17.20
5FFProkmXBiDKHzC8yymp55w5mAkWnpUGujz3jYY5n3n,2.205209371,8324.6663393761,0.004338527949908877,0.05,0.0014719244445036014,100,96715.44,Unknown,0.0,1.17.20
Ap9QwurB2Jvj7uuFjyXsdWaRryFJQFdNttHZ9TB3W2bV,15786.748641729,16059.298316776,0.004597934470812132,0.4428571428571429,0.011112463894244034,100,89322.03,HOSTING-SOLUTIONS,0.0,1.17.20
DynfNGjbhYzPjXidyQgUqC4BZwQj8bcCbVbEqXsTkd3X,11521.721644181,11779.4295633374,0.004497282803947733,0.4083333333333334,0.011904887061903954,100,87433.65,HOSTING-SOLUTIONS,0.0,1.17.20
7zAahYyFisVi65qR4f98ZXw6NTBmpXfDdJhH4ZUtzvkW,2.206043464,11769.2707367695,0.005457135880324339,0.0,0.0,100,76179.678,Unknown,0.0,1.17.20
FREmqYChVguBY79QH34noG71P5EJywGJ8rH3LkN9cZbK,70.81526723,17495.8439101589,0.030406572808336446,0.14523809523809522,0.007072544248539181,100,74146.95,Unknown,0.0,1.17.20
