vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,target_stake_msol,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,rank_dc_concentration,rank_grace_skip_rate,rank_adjusted_credits,score,blacklisted,ui_hints,eligible_stake_algo,eligible_stake_msol,rank,in_algo_stake_set,eligible_stake_mnde,mnde_power,target_stake_mnde,target_stake_algo,target_stake
DimavhUqvCpWjUZqSFZGLqBiUVUYQ5jZEaCHutKKVs45,62711.408971569,66743.826140224,0.000341580494641087,0.0249005054113413,0.0234788313846423,10,329477.13,PE Konstantin Vladimirovich Kravchenko,0,0,0.998306991160972,0.969669395630577,0.859919963168338,201,328,250,0.889652539202761,0,"",1,1,88,1,1,0,0,24938,24938
5h4UTTYdYnAVP1LbQNWWHXeBN37tdUopoczCnsthZToE,60166.616300586,64102.6125369828,0.000185874159648146,0.0284584567479304,0.0284584567479304,10,329454.36,Beyond.pl sp. z o.o.,0,0,0.999078733709424,0.963236577730593,0.859860534528901,173,495,260,0.889230722341419,0,"",1,1,89,1,1,0,0,24926,24926
HiLaiF6HAUL2kYBsHcVb3CDws9c3dEphtfPbzDnKYFYB,83946.766548988,84720.7614420096,0.00151994218828041,0.0309761635305114,0.0309761635305114,10,329836.23,LAYER-HOST-HOUSTON,0,0,0.992466561762331,0.959984134408792,0.860857197442454,318,592,186,0.888729940950615,0,"",1,1,90,1,1,0,0,24912,24912
9vNLTLdwAdHw8EdiZrLzDtUpm3hp7E2MGaNi6SmdfBGz,82435.201554706,83235.5984311542,0.00151994218828041,0.0276432840127555,0.0276432840127555,10,329661.81,LAYER-HOST-HOUSTON,0,0,0.992466561762331,0.964289640437091,0.860401969366455,318,459,205,0.888710958278946,0,"",1,1,91,1,1,0,0,24912,24912
KXMGa7fRW78c6VVND6YwPbR9sEu8V3q9QL3ctLDioAT,68400.133817254,71534.2140683545,0.00889123799815266,0.0653610739750446,0.0416122754000265,8,332917.18,Inetcom LLC,0,0,0.955931486847355,0.946244110646186,0.868898333440342,653,1096,161,0.888237724518793,0,"",1,1,93,1,1,0,0,24899,24899
De4k4hrdkxFHmAx4nVRA3g5ukdg4YqmDLdwuYUcrjjud,62975.186805705,66913.3629354206,0.000345548726766684,0.0280402444245155,0.0243566656359117,10,328696.83,Netorn LLC,0,0,0.998287323023682,0.96853538504287,0.857883416512549,205,354,470,0.88799570740121,0,"",1,1,94,1,1,0,0,24892,24892
9o4Y8WvRisPxEpuo4sZBq1CtfNsYanzp87bSgeYuGf3R,83099.287658792,83902.4302997013,0.00151994218828041,0.0176713837268757,0.0176713837268757,10,328808.16,LAYER-HOST-HOUSTON,0,0,0.992466561762331,0.977171617287958,0.858173982627106,318,191,448,0.887988043621822,0,"",1,1,95,1,1,0,0,24892,24892
5pkXTTVgxvebUwtfCmZmMeJBhKB51BeiZbguo6ZrrSas,62447.663156248,67624.4198221706,0.000523019686736716,0.0376092175773585,0.0376092175773585,10,329398.47,JSC Avantel,0,0,0.997407706334164,0.951415371561952,0.859714664232102,219,883,277,0.887952109734716,0,"",1,1,96,1,1,0,0,24891,24891
DzCirYWNsCECVHgSaMVg1mqMzKwtGuN2Pqm2a4HqVpTE,69673.149202389,72066.9485833954,0.000661718920191488,0.0312312687312687,0.0294968023010498,10,328925.7,VeloxServ Communications Ltd,0,0,0.996720257747698,0.961895214199569,0.858480756552419,239,527,414,0.887703330401473,0,"",1,1,100,1,1,0,0,24884,24884
4tuMshQNpAFpy1YtEHnSsE5EPN1mAT8FevWvn2UPJHNM,83564.640391616,84393.0616169254,0.00151994218828041,0.0287837048009462,0.0240123090916776,10,328842.18,LAYER-HOST-HOUSTON,0,0,0.992466561762331,0.96898023435986,0.858262773242549,318,342,437,0.887426237716155,0,"",1,1,101,1,1,0,0,24876,24876
